number,value,datetime_start,datetime_complete,duration,params_aggregation,params_batch_norm,params_depth,params_dropout,params_ffn_hidden_dim,params_ffn_num_layers,params_final_lr_ratio,params_init_lr_ratio,params_max_lr,params_message_hidden_dim,params_warmup_epochs,user_attrs_test_mae,user_attrs_test_r2,user_attrs_test_rmse,user_attrs_test_samples,state
0,0.06329253315925598,2026-05-07 07:34:14.823091,2026-05-07 07:49:49.644038,0 days 00:15:34.820947,mean,False,2,0.2334962436875518,3901,2,0.03610725737541877,0.2742837613605395,0.002462146514865789,1606,3,3.7195432201931338,0.9356992165535745,5.209545303165367,6185,COMPLETE
1,0.3652155101299286,2026-05-07 07:49:49.644383,2026-05-07 08:12:26.668511,0 days 00:22:37.024128,mean,True,3,0.15991915865938494,2659,4,0.3028408253421834,0.4162743428196713,0.002861854859627718,1034,4,7.883543994259044,0.6111559401752983,12.81089351406276,6185,COMPLETE
2,0.25508415699005127,2026-05-07 08:12:26.668854,2026-05-07 08:21:34.341186,0 days 00:09:07.672332,mean,False,5,0.23834714514692246,3198,6,0.278796057376354,0.6665520738837702,0.0016130021570422044,533,3,8.15598355218491,0.713662873573975,10.993361719267298,6185,COMPLETE
3,0.3743661940097809,2026-05-07 08:21:34.341515,2026-05-07 08:35:29.554300,0 days 00:13:55.212785,norm,True,3,0.34582300974443153,583,2,0.363740585321277,0.6787072050337534,0.002656991702819585,568,6,8.015206322018523,0.602072677033768,12.959658780180805,6185,COMPLETE
4,0.4171912968158722,2026-05-07 08:35:29.554609,2026-05-07 08:55:02.478033,0 days 00:19:32.923424,sum,True,6,0.0113266889564974,897,1,0.026131760486285707,0.9096137167805677,0.004682075387137568,1017,2,7.1141168740842256,0.5669882638006168,13.518905137747902,6185,COMPLETE
5,0.3864850401878357,2026-05-07 08:55:02.478352,2026-05-07 09:12:33.243320,0 days 00:17:30.764968,mean,False,3,0.029477929727831722,3016,5,0.12839685905569434,0.9271734893133565,0.0005446531888557243,724,4,10.376901176039404,0.5919497647669829,13.123464571252638,6185,COMPLETE
6,0.4467528760433197,2026-05-07 09:12:33.243762,2026-05-07 09:19:31.094262,0 days 00:06:57.850500,mean,False,5,0.02800269968878313,2992,3,0.12388765169958836,0.3310800845857138,0.0005128505470291304,391,5,11.061525800947036,0.5391327163099167,13.946962285270091,6185,COMPLETE
7,3.774885654449463,2026-05-07 09:19:31.094602,2026-05-07 09:27:33.411524,0 days 00:08:02.316922,norm,False,5,0.21845126377953925,3890,6,0.015516302943735691,0.9224036452324061,0.0019440621181463166,446,2,39.46348821690898,-2.972028517211614,40.944716252805264,6185,COMPLETE
8,2.001455783843994,2026-05-07 09:27:33.411843,2026-05-07 09:35:27.997179,0 days 00:07:54.585336,norm,False,4,0.049501297013908686,1079,2,0.023671841343730907,0.9213306406437676,0.0005153687417696523,278,6,27.40196157716028,-1.0670194412053577,29.536835722494878,6185,COMPLETE
9,0.3722821772098541,2026-05-07 09:35:27.997488,2026-05-07 09:42:03.555176,0 days 00:06:35.557688,mean,False,5,0.32062987542479787,3497,5,0.25999757786981714,0.4199399148891402,0.0014004345038331426,406,1,9.628559491859875,0.6196074075430369,12.670907265026619,6185,COMPLETE
10,0.4345538020133972,2026-05-07 09:42:03.555516,2026-05-07 10:02:40.576890,0 days 00:20:37.021374,sum,True,2,0.13442403128856262,285,1,0.9889689985958863,0.12834487620902038,0.0009664389861319681,1774,3,7.076465305090914,0.5498064221007819,13.784510056738863,6185,COMPLETE
11,0.5437910556793213,2026-05-07 10:02:40.577212,2026-05-07 10:11:39.273159,0 days 00:08:58.695947,mean,False,2,0.2603329622406874,1688,3,0.052493404280967146,0.6574872363788099,0.001626846729352716,1645,3,11.858888569047785,0.43640243935587275,15.423262109492159,6185,COMPLETE
12,0.3140948712825775,2026-05-07 10:11:39.273479,2026-05-07 10:38:48.083987,0 days 00:27:08.810508,mean,False,6,0.2512063772609769,1752,6,0.05773830203182091,0.1382216133979671,0.001038150016754491,1077,2,7.4534234530326335,0.6795809720670813,11.629226684226573,6185,COMPLETE
